"testId","testType","Module","TestCase","Method","Endpoint","Precondition","Input","expectedStatus","expectedMessage","ExpectedResult","Priority","Status"
"PAY-001","CREATE_PAYMENT","Payment","Tạo thanh toán COD thành công","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại và thuộc người dùng","{""paymentMethod"":""COD""}","200","Payment request created","Tạo payment COD với trạng thái PENDING và trả về paymentId, orderId","Critical","Pass"
"PAY-002","CREATE_PAYMENT","Payment","Tạo thanh toán Bank Transfer thành công","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại và thuộc người dùng","{""paymentMethod"":""BANK_TRANSFER""}","200","Payment request created","Tạo payment BANK_TRANSFER với trạng thái PENDING và mã giao dịch","Critical","Pass"
"PAY-003","CREATE_PAYMENT","Payment","Tạo thanh toán VNPAY thành công","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại; cấu hình VNPAY hoạt động","{""paymentMethod"":""VNPAY""}","200","Payment request created","Tạo payment VNPAY trạng thái PENDING và trả về paymentUrl","Critical","Pass"
"PAY-004","CREATE_PAYMENT","Payment","Tạo thanh toán MOMO thành công","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại; cấu hình MOMO hoạt động","{""paymentMethod"":""MOMO""}","200","Payment request created","Tạo payment MOMO trạng thái PENDING và trả về paymentUrl","Critical","Pass"
"PAY-005","CREATE_PAYMENT_VALIDATION","Payment","Thiếu trường paymentMethod","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại","{}","400","paymentMethod","Từ chối request thiếu phương thức thanh toán","High","Pass"
"PAY-006","CREATE_PAYMENT_VALIDATION","Payment","paymentMethod có giá trị null","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại","{""paymentMethod"":null}","400","paymentMethod","Từ chối phương thức thanh toán null","High","Pass"
"PAY-007","CREATE_PAYMENT_VALIDATION","Payment","paymentMethod là chuỗi rỗng","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại","{""paymentMethod"":""""}","400","không hợp lệ","Từ chối phương thức thanh toán rỗng","High","Fail"
"PAY-008","CREATE_PAYMENT_VALIDATION","Payment","Phương thức thanh toán không được hỗ trợ","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại","{""paymentMethod"":""CREDIT_CARD""}","400","không hợp lệ","Từ chối paymentMethod không thuộc COD, BANK_TRANSFER, VNPAY hoặc MOMO","High","Fail"
"PAY-009","CREATE_PAYMENT_VALIDATION","Payment","Không gửi request body","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại","<không có body>","400","body","Từ chối request không có body","High","Fail"
"PAY-010","CREATE_PAYMENT_VALIDATION","Payment","Request body sai cú pháp JSON","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đăng nhập hợp lệ; đơn hàng tồn tại","{""paymentMethod"":""COD""","400","không hợp lệ","Từ chối request có JSON sai cú pháp","High","Fail"
"PAY-011","CREATE_PAYMENT_ORDER","Payment","Thanh toán đơn hàng không tồn tại","POST","{{baseUrl}}/api/payments/orders/999999999","Đăng nhập hợp lệ","{""paymentMethod"":""COD""}","404","Order not found","Không tạo payment cho orderId không tồn tại","Critical","Pass"
"PAY-012","CREATE_PAYMENT_VALIDATION","Payment","orderId sai kiểu dữ liệu","POST","{{baseUrl}}/api/payments/orders/abc","Đăng nhập hợp lệ","{""paymentMethod"":""COD""}","400","orderId","Từ chối orderId không phải số","High","Fail"
"PAY-013","CREATE_PAYMENT_AUTH","Payment","Tạo thanh toán khi không có Bearer token","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Đơn hàng tồn tại; không gửi Authorization header","{""paymentMethod"":""COD""}","401","unauthorized","Từ chối người dùng chưa đăng nhập","Critical","Fail"
"PAY-014","CREATE_PAYMENT_AUTH","Payment","Tạo thanh toán với Bearer token không hợp lệ","POST","{{baseUrl}}/api/payments/orders/{{validOrderId}}","Gửi Authorization Bearer invalid-token","{""paymentMethod"":""COD""}","401","unauthorized","Từ chối token không hợp lệ","Critical","Fail"
"PAY-015","GET_MY_PAYMENTS","Payment","Lấy danh sách thanh toán của người dùng thành công","GET","{{baseUrl}}/api/payments?page=0&size=10&sortBy=createdAt&direction=desc","Đăng nhập hợp lệ","page=0; size=10; sortBy=createdAt; direction=desc","200","Payments retrieved","Trả về danh sách payment dạng phân trang của người dùng hiện tại","High","Pass"
"PAY-016","GET_MY_PAYMENTS_AUTH","Payment","Lấy danh sách thanh toán khi chưa đăng nhập","GET","{{baseUrl}}/api/payments?page=0&size=10","Không gửi Authorization header","page=0; size=10","401","unauthorized","Từ chối truy cập danh sách payment khi chưa đăng nhập","Critical","Fail"
"PAY-017","GET_MY_PAYMENTS_VALIDATION","Payment","Lấy danh sách thanh toán với page âm","GET","{{baseUrl}}/api/payments?page=-1&size=10","Đăng nhập hợp lệ","page=-1; size=10","400","page","Từ chối tham số page âm","Medium","Pass"
