tc_id,summary,method,url,body_name,body_price,body_brand,body_productId,expected_status,expected_message
TC_PROD_001,Hiển thị danh sách VGA hợp lệ,GET,{{baseUrl}}/api/products,,,,,200,products
TC_PROD_002,Kiểm tra số lượng sản phẩm hiển thị,GET,{{baseUrl}}/api/products,,,,,200,totalItems
TC_PROD_003,Kiểm tra hình ảnh VGA hiển thị,GET,{{baseUrl}}/api/products,,,,,200,imageUrl
TC_PROD_004,Kiểm tra giá VGA hiển thị đúng,GET,{{baseUrl}}/api/products,,,,,200,price
TC_PROD_005,Kiểm tra tên hãng VGA hiển thị đúng,GET,{{baseUrl}}/api/products,,,,,200,brand
TC_PROD_006,Kiểm tra phân trang trang đầu tiên,GET,{{baseUrl}}/api/products?page=1&limit=10,,,,,200,currentPage
TC_PROD_007,Chuyển sang trang tiếp theo,GET,{{baseUrl}}/api/products?page=2&limit=10,,,,,200,currentPage
TC_PROD_013,Tìm kiếm chính xác tên sản phẩm,GET,{{baseUrl}}/api/products?search=RTX 4060,,,,,200,RTX 4060
TC_PROD_014,Tìm kiếm không dấu hoặc chữ thường,GET,{{baseUrl}}/api/products?search=vga rtx,,,,,200,products
TC_PROD_015,Lọc sản phẩm theo giá thấp đến cao,GET,{{baseUrl}}/api/products?sortBy=priceAsc,,,,,200,products
TC_PROD_016,Lọc sản phẩm theo giá cao đến thấp,GET,{{baseUrl}}/api/products?sortBy=priceDesc,,,,,200,products
TC_PROD_017,Lọc sản phẩm theo hãng NVIDIA,GET,{{baseUrl}}/api/products?brand=NVIDIA,,,,,200,NVIDIA
TC_PROD_018,Lọc sản phẩm theo hãng AMD,GET,{{baseUrl}}/api/products?brand=AMD,,,,,200,AMD
TC_PROD_019,Kết hợp lọc giá và hãng,GET,{{baseUrl}}/api/products?brand=NVIDIA&minPrice=5000000&maxPrice=15000000,,,,,200,products
TC_PROD_020,Xem chi tiết sản phẩm VGA,GET,{{baseUrl}}/api/products/1,,,,,200,id
TC_PROD_021,Kiểm tra thông số kỹ thuật VGA,GET,{{baseUrl}}/api/products/1,,,,,200,specifications
TC_PROD_022,Kiểm tra hình ảnh trong trang chi tiết,GET,{{baseUrl}}/api/products/1,,,,,200,images
TC_PROD_023,Kiểm tra giá trong trang chi tiết,GET,{{baseUrl}}/api/products/1,,,,,200,price
TC_PROD_024,Kiểm tra truy cập sản phẩm không tồn tại,GET,{{baseUrl}}/api/products/99999,,,,,404,error
TC_PROD_025,Thêm mới sản phẩm VGA thành công,POST,{{baseUrl}}/api/products,VGA RTX 5090,45000000,NVIDIA,,201,Thêm thành công
TC_PROD_026,Thêm mới sản phẩm thiếu thông tin bắt buộc,POST,{{baseUrl}}/api/products,,45000000,NVIDIA,,400,validationError
TC_PROD_027,Cập nhật thông tin sản phẩm thành công,PUT,{{baseUrl}}/api/products/1,,12500000,,,200,Cập nhật thành công
TC_PROD_028,Cập nhật sản phẩm không tồn tại,PUT,{{baseUrl}}/api/products/99999,,12500000,,,404,error
TC_PROD_029,Xóa sản phẩm thành công,DELETE,{{baseUrl}}/api/products/1,,,,,200,Xóa thành công
TC_PROD_030,Xóa sản phẩm không có quyền (User thường),DELETE,{{baseUrl}}/api/products/1,,,,,403,Không có quyền truy cập
